sentence1,sentence2,label
商标名称：荣耀，拼音：rong2-yao4，笔画：122451234-24313554154132400000,商标名称：茉耀，拼音：mo4-yao4，笔画：12211234-24313554154132400000,0
商标名称：荣耀，拼音：rong2-yao4，笔画：122451234-24313554154132400000,商标名称：茱耀，拼音：zhu1-yao4，笔画：122311234-24313554154132400000,0
商标名称：荣耀，拼音：rong2-yao4，笔画：122451234-24313554154132400000,商标名称：荥耀，拼音：xing2-yao4，笔画：122452534-24313554154132400000,0
商标名称：荣耀，拼音：rong2-yao4，笔画：122451234-24313554154132400000,商标名称：莱耀，拼音：lai2-yao4，笔画：1221431234-24313554154132400000,0
商标名称：荣耀，拼音：rong2-yao4，笔画：122451234-24313554154132400000,商标名称：菜耀，拼音：cai4-yao4，笔画：12234431234-24313554154132400000,0
商标名称：魅族，拼音：mei4-zu2，笔画：32511355411234-41533131134,商标名称：魃族，拼音：ba2-zu2，笔画：32511355413544-41533131134,0
商标名称：魅族，拼音：mei4-zu2，笔画：32511355411234-41533131134,商标名称：魅旅，拼音：mei4-lv3，笔画：32511355411234-4153313534,0
商标名称：联想，拼音：lian2-xiang3，笔画：122111431134-1234251114544,商标名称：朕想，拼音：zhen4-xiang3，笔画：3511431134-1234251114544,0
商标名称：联想，拼音：lian2-xiang3，笔画：122111431134-1234251114544,商标名称：肤想，拼音：fu1-xiang3，笔画：35111134-1234251114544,0
商标名称：联想，拼音：lian2-xiang3，笔画：122111431134-1234251114544,商标名称：胱想，拼音：guang1-xiang3，笔画：3511243135-1234251114544,1
商标名称：海尔，拼音：hai3-er3，笔画：4413155414-35234,商标名称：侮尔，拼音：wu3-er3，笔画：323155414-35234,0
商标名称：海尔，拼音：hai3-er3，笔画：4413155414-35234,商标名称：诲尔，拼音：hui4-er3，笔画：453155414-35234,0
商标名称：格力，拼音：ge2-li4，笔画：1234354251-53,商标名称：袼力，拼音：ge1-li4，笔画：45234354251-53,0
商标名称：海信，拼音：hai3-xin4，笔画：4413155414-324111251,商标名称：侮信，拼音：wu3-xin4，笔画：323155414-324111251,0
商标名称：海信，拼音：hai3-xin4，笔画：4413155414-324111251,商标名称：诲信，拼音：hui4-xin4，笔画：453155414-324111251,0
商标名称：海信，拼音：hai3-xin4，笔画：4413155414-324111251,商标名称：海佶，拼音：hai3-ji2，笔画：4413155414-32121251,1
商标名称：海信，拼音：hai3-xin4，笔画：4413155414-324111251,商标名称：海倌，拼音：hai3-guan1，笔画：4413155414-3244525151,1
商标名称：海信，拼音：hai3-xin4，笔画：4413155414-324111251,商标名称：海倍，拼音：hai3-bei4，笔画：4413155414-3241431251,1
商标名称：创维，拼音：chuang4-wei2，笔画：345522-55132411121,商标名称：创堆，拼音：chuang4-dui1，笔画：345522-12132411121,0
商标名称：创维，拼音：chuang4-wei2，笔画：345522-55132411121,商标名称：创惟，拼音：chuang4-wei2，笔画：345522-44232411121,0
商标名称：创维，拼音：chuang4-wei2，笔画：345522-55132411121,商标名称：创推，拼音：chuang4-tui1，笔画：345522-12132411121,0
商标名称：创维，拼音：chuang4-wei2，笔画：345522-55132411121,商标名称：创椎，拼音：chuang4-chui2，笔画：345522-123432411121,0
商标名称：创维，拼音：chuang4-wei2，笔画：345522-55132411121,商标名称：创稚，拼音：chuang4-zhi4，笔画：345522-3123432411121,0
商标名称：创维，拼音：chuang4-wei2，笔画：345522-55132411121,商标名称：创锥，拼音：chuang4-zhui1，笔画：345522-3111532411121,0
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：康住，拼音：kang1-zhu4，笔画：41351124134-3241121,0
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：凛佳，拼音：lin3-jia1，笔画：414125251111234-32121121,1
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：厚佳，拼音：hou4-jia1，笔画：132511521-32121121,2
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：唐佳，拼音：tang2-jia1，笔画：4135112251-32121121,1
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：展佳，拼音：zhan3-jia1，笔画：5131221534-32121121,2
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：庸佳，拼音：yong1-jia1，笔画：41351125112-32121121,1
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：廑佳，拼音：jin3-jia1，笔画：41312212511121-32121121,1
商标名称：廑佳，拼音：jin3-jia1，笔画：41312212511121-32121121,商标名称：廛佳，拼音：chan2-jia1，笔画：413251121134121-32121121,0
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：廪佳，拼音：lin3-jia1，笔画：4134125251111230-32121121,1
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：摩佳，拼音：mo2-jia1，笔画：413123412343112-32121121,1
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：磨佳，拼音：mo2-jia1，笔画：4131234123413250-32121121,1
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：禀佳，拼音：bing3-jia1，笔画：4125251111234-32121121,2
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：糜佳，拼音：mi2-jia1，笔画：41312341234431200-32121121,1
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：縻佳，拼音：mi2-jia1，笔画：41312341234554200-32121121,1
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：膺佳，拼音：ying1-jia1，笔画：41332324111212500-32121121,1
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：蘑佳，拼音：mo2-jia1，笔画：1224131234123410000-32121121,2
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：蘼佳，拼音：mi2-jia1，笔画：1224131234123420000000-32121121,1
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：鏖佳，拼音：ao2-jia1，笔画：4135221153534110000-32121121,1
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：靡佳，拼音：mi2-jia1，笔画：4131234123421110000-32121121,1
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：靥佳，拼音：ye4-jia1，笔画：131344132522111-32121121,2
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：餍佳，拼音：yan4-jia1，笔画：131344344511534-32121121,2
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：魇佳，拼音：yan3-jia1，笔画：131344325113554-32121121,2
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：魔佳，拼音：mo2-jia1，笔画：41312341234325100000-32121121,2
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：鹰佳，拼音：ying1-jia1，笔画：413323241112135000-32121121,2
商标名称：麋佳，拼音：mi2-jia1，笔画：41352211535431200-32121121,商标名称：麇佳，拼音：jun1-jia1，笔画：4135221153531230-32121121,0
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：麈佳，拼音：zhu3-jia1，笔画：4135221153541120-32121121,2
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：麋佳，拼音：mi2-jia1，笔画：41352211535431200-32121121,2
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：麝佳，拼音：she4-jia1，笔画：413522115353251000000-32121121,2
商标名称：康佳，拼音：kang1-jia1，笔画：41351124134-32121121,商标名称：麾佳，拼音：hui1-jia1，笔画：413123412343115-32121121,2
商标名称：方太，拼音：fang1-tai4，笔画：4153-1344,商标名称：方大，拼音：fang1-da4，笔画：4153-134,0
商标名称：方太，拼音：fang1-tai4，笔画：4153-1344,商标名称：方犬，拼音：fang1-quan3，笔画：4153-1344,0
商标名称：华帝，拼音：hua2-di4，笔画：323512-414345252,商标名称：华带，拼音：hua2-dai4，笔画：323512-122245252,0
商标名称：华帝，拼音：hua2-di4，笔画：323512-414345252,商标名称：华芾，拼音：hua2-fei4，笔画：323512-1221252,0
商标名称：华帝，拼音：hua2-di4，笔画：323512-414345252,商标名称：华苦，拼音：hua2-ku3，笔画：323512-12212251,0
商标名称：华帝，拼音：hua2-di4，笔画：323512-414345252,商标名称：华苫，拼音：hua2-shan1，笔画：323512-12221251,0
商标名称：九阳，拼音：jiu3-yang2，笔画：35-522511,商标名称：丸阳，拼音：wan2-yang2，笔画：354-522511,0
商标名称：格兰仕，拼音：ge2-lan2-shi4，笔画：1234354251-43111-32121,商标名称：袼兰仕，拼音：ge1-lan2-shi4，笔画：45234354251-43111-32121,0
商标名称：格兰仕，拼音：ge2-lan2-shi4，笔画：1234354251-43111-32121,商标名称：格兰什，拼音：ge2-lan2-shen2，笔画：1234354251-43111-3212,0
商标名称：科沃斯，拼音：ke1-wo4-si1，笔画：312344412-4413134-122111343312,商标名称：料沃斯，拼音：liao4-wo4-si1，笔画：4312344412-4413134-122111343312,0
商标名称：石头科技，拼音：shi2-tou5-ke1-ji4，笔画：13251-44134-312344412-1211254,商标名称：石头料技，拼音：shi2-tou5-liao4-ji4，笔画：13251-44134-4312344412-1211254,0
商标名称：石头科技，拼音：shi2-tou5-ke1-ji4，笔画：13251-44134-312344412-1211254,商标名称：石头科伎，拼音：shi2-tou5-ke1-ji4，笔画：13251-44134-312344412-321254,0
商标名称：石头科技，拼音：shi2-tou5-ke1-ji4，笔画：13251-44134-312344412-1211254,商标名称：石头科忮，拼音：shi2-tou5-ke1-zhi4，笔画：13251-44134-312344412-4421254,0
商标名称：石头科技，拼音：shi2-tou5-ke1-ji4，笔画：13251-44134-312344412-1211254,商标名称：石头科按，拼音：shi2-tou5-ke1-an4，笔画：13251-44134-312344412-121445531,0
商标名称：石头科技，拼音：shi2-tou5-ke1-ji4，笔画：13251-44134-312344412-1211254,商标名称：石头科枝，拼音：shi2-tou5-ke1-zhi1，笔画：13251-44134-312344412-12341254,0
商标名称：石头科技，拼音：shi2-tou5-ke1-ji4，笔画：13251-44134-312344412-1211254,商标名称：石头科校，拼音：shi2-tou5-ke1-xiao4，笔画：13251-44134-312344412-1234413434,0
商标名称：石头科技，拼音：shi2-tou5-ke1-ji4，笔画：13251-44134-312344412-1211254,商标名称：石头科桉，拼音：shi2-tou5-ke1-an1，笔画：13251-44134-312344412-1234445531,0
商标名称：追觅，拼音：zhui1-mi4，笔画：325151454-34432535,商标名称：造觅，拼音：zao4-mi4，笔画：3121251454-34432535,0
商标名称：大疆，拼音：da4-jiang1，笔画：134-5151211251211250000,商标名称：太疆，拼音：tai4-jiang1，笔画：1344-5151211251211250000,0
商标名称：大疆，拼音：da4-jiang1，笔画：134-5151211251211250000,商标名称：犬疆，拼音：quan3-jiang1，笔画：1344-5151211251211250000,0
商标名称：科大讯飞，拼音：ke1-da4-xun4-fei1，笔画：312344412-134-45512-534,商标名称：料大讯飞，拼音：liao4-da4-xun4-fei1，笔画：4312344412-134-45512-534,0
商标名称：科大讯飞，拼音：ke1-da4-xun4-fei1，笔画：312344412-134-45512-534,商标名称：科太讯飞，拼音：ke1-tai4-xun4-fei1，笔画：312344412-1344-45512-534,0
商标名称：科大讯飞，拼音：ke1-da4-xun4-fei1，笔画：312344412-134-45512-534,商标名称：科犬讯飞，拼音：ke1-quan3-xun4-fei1，笔画：312344412-1344-45512-534,0
商标名称：优派，拼音：you1-pai4，笔画：321354-441333534,商标名称：忧派，拼音：you1-pai4，笔画：4421354-441333534,0
商标名称：优派，拼音：you1-pai4，笔画：321354-441333534,商标名称：扰派，拼音：rao3-pai4，笔画：1211354-441333534,0
商标名称：漫步者，拼音：man4-bu4-zhe3，笔画：44125112522154-2121233-12132511,商标名称：浸步者，拼音：jin4-bu4-zhe3，笔画：4415114554-2121233-12132511,0
商标名称：漫步者，拼音：man4-bu4-zhe3，笔画：44125112522154-2121233-12132511,商标名称：谩步者，拼音：man2-bu4-zhe3，笔画：4525112522154-2121233-12132511,0
商标名称：紫米，拼音：zi3-mi3，笔画：212135554234-431234,商标名称：索米，拼音：suo3-mi3，笔画：1245554234-431234,0
商标名称：紫米，拼音：zi3-mi3，笔画：212135554234-431234,商标名称：萦米，拼音：ying2-mi3，笔画：12245554234-431234,0
商标名称：倍思，拼音：bei4-si1，笔画：3241431251-251214544,商标名称：佶思，拼音：ji2-si1，笔画：32121251-251214544,0
商标名称：倍思，拼音：bei4-si1，笔画：3241431251-251214544,商标名称：信思，拼音：xin4-si1，笔画：324111251-251214544,0
商标名称：倍思，拼音：bei4-si1，笔画：3241431251-251214544,商标名称：倌思，拼音：guan1-si1，笔画：3244525151-251214544,0
商标名称：倍思，拼音：bei4-si1，笔画：3241431251-251214544,商标名称：倍恩，拼音：bei4-en1，笔画：3241431251-2513414544,0
商标名称：坚果，拼音：jian1-guo3，笔画：2254121-25111234,商标名称：坚杲，拼音：jian1-gao3，笔画：2254121-25111234,0
商标名称：极米，拼音：ji2-mi3，笔画：1234354-431234,商标名称：扳米，拼音：ban1-mi3，笔画：1213354-431234,0
商标名称：极米，拼音：ji2-mi3，笔画：1234354-431234,商标名称：板米，拼音：ban3-mi3，笔画：12343354-431234,0
商标名称：飞利浦，拼音：fei1-li4-pu3，笔画：534-3123422-4411251124,商标名称：飞利埔，拼音：fei1-li4-pu3，笔画：534-3123422-1211251124,0
商标名称：飞利浦，拼音：fei1-li4-pu3，笔画：534-3123422-4411251124,商标名称：飞利墙，拼音：fei1-li4-qiang2，笔画：534-3123422-12112431252511,0
商标名称：索尼，拼音：suo3-ni2，笔画：1245554234-51335,商标名称：紫尼，拼音：zi3-ni2，笔画：212135554234-51335,0
商标名称：索尼，拼音：suo3-ni2，笔画：1245554234-51335,商标名称：萦尼，拼音：ying2-ni2，笔画：12245554234-51335,0
商标名称：苹果，拼音：ping2-guo3，笔画：12214312-25111234,商标名称：苹杲，拼音：ping2-gao3，笔画：12214312-25111234,0
商标名称：尼康，拼音：ni2-kang1，笔画：51335-41351124134,商标名称：尼凛，拼音：ni2-lin3，笔画：51335-414125251111234,0
商标名称：尼康，拼音：ni2-kang1，笔画：51335-41351124134,商标名称：尼厚，拼音：ni2-hou4，笔画：51335-132511521,0
商标名称：尼康，拼音：ni2-kang1，笔画：51335-41351124134,商标名称：尼唐，拼音：ni2-tang2，笔画：51335-4135112251,0
商标名称：尼康，拼音：ni2-kang1，笔画：51335-41351124134,商标名称：尼展，拼音：ni2-zhan3，笔画：51335-5131221534,0
商标名称：尼康，拼音：ni2-kang1，笔画：51335-41351124134,商标名称：尼庸，拼音：ni2-yong1，笔画：51335-41351125112,0
商标名称：尼康，拼音：ni2-kang1，笔画：51335-41351124134,商标名称：尼廑，拼音：ni2-jin3，笔画：51335-41312212511121,0
商标名称：尼康，拼音：ni2-kang1，笔画：51335-41351124134,商标名称：尼廛，拼音：ni2-chan2，笔画：51335-413251121134121,0
商标名称：尼康，拼音：ni2-kang1，笔画：51335-41351124134,商标名称：尼廪，拼音：ni2-lin3，笔画：51335-4134125251111230,0
商标名称：尼康，拼音：ni2-kang1，笔画：51335-41351124134,商标名称：尼摩，拼音：ni2-mo2，笔画：51335-413123412343112,0
商标名称：尼康，拼音：ni2-kang1，笔画：51335-41351124134,商标名称：尼磨，拼音：ni2-mo2，笔画：51335-4131234123413250,0
商标名称：尼康，拼音：ni2-kang1，笔画：51335-41351124134,商标名称：尼禀，拼音：ni2-bing3，笔画：51335-4125251111234,0
商标名称：尼康，拼音：ni2-kang1，笔画：51335-41351124134,商标名称：尼糜，拼音：ni2-mi2，笔画：51335-41312341234431200,0
商标名称：尼康，拼音：ni2-kang1，笔画：51335-41351124134,商标名称：尼縻，拼音：ni2-mi2，笔画：51335-41312341234554200,0
商标名称：尼康，拼音：ni2-kang1，笔画：51335-41351124134,商标名称：尼膺，拼音：ni2-ying1，笔画：51335-41332324111212500,0
商标名称：尼康，拼音：ni2-kang1，笔画：51335-41351124134,商标名称：尼蘑，拼音：ni2-mo2，笔画：51335-1224131234123410000,0
